,rated,turns,winner,white_rating,black_rating,opening_ply
312,False,33,white,1605,1500,1
314,True,65,white,1790,1874,1
315,True,81,white,1864,1805,5
317,True,52,white,1851,1853,8
318,True,51,white,1861,1863,4
324,True,19,white,1612,1614,5
325,True,22,white,1605,1624,8
331,True,27,white,1480,1643,3
332,True,63,white,1631,1652,5
333,True,31,white,1687,1641,5
334,True,71,white,1630,1638,6
336,True,47,white,1619,1419,7
338,True,48,white,1649,1639,3
340,True,49,white,1705,1636,8
342,True,29,white,1637,1627,7
343,True,45,white,1626,1631,5
347,True,123,white,1579,1623,19
348,True,129,white,1995,1581,4
351,True,97,white,1559,1557,3
352,True,60,white,1546,1571,2
353,True,57,white,1550,1567,6
354,True,38,white,1560,1419,5
355,True,111,white,1840,1564,8
357,True,33,white,1534,1678,5
358,True,32,white,1789,1538,6
363,True,85,white,1500,1568,4
369,True,11,white,1238,985,1
371,True,95,white,1107,961,4
373,True,101,white,1203,970,3
379,True,101,white,1127,1044,3
380,True,65,white,1020,1200,3
385,True,41,white,1337,1337,3
387,True,27,white,1500,1571,7
389,True,19,white,1590,1373,2
392,True,15,white,1476,1367,2
394,True,65,white,1460,1386,2
395,True,67,white,1372,1408,5
398,True,125,white,1382,1414,5
400,True,121,white,1383,1330,3
401,False,53,white,1383,1242,3
403,False,47,white,959,1357,4
404,False,53,white,1357,959,3
407,True,67,white,1541,1586,9
408,True,17,white,1517,1320,4
409,True,39,white,1569,1569,2
411,True,37,white,1903,1512,8
412,True,37,white,1612,1450,5
413,False,34,white,1327,1450,3
414,False,41,white,1245,1450,5
416,True,51,white,1462,1464,3
417,True,79,white,1450,1486,6
418,True,83,white,1439,1418,5
420,True,21,white,1547,1563,4
421,True,47,white,1863,1567,2
422,True,38,white,1559,1423,2
424,True,39,white,1562,1582,6
425,True,43,white,1576,1386,3
426,True,41,white,1353,1595,3
427,True,49,white,1591,1326,3
432,True,57,white,1536,1962,3
435,True,29,white,1653,1522,2
443,True,31,white,1919,1488,2
445,True,45,white,1470,1684,3
447,True,17,white,1586,1473,5
448,True,34,white,1548,1488,6
453,True,38,white,1529,1639,3
454,True,107,white,1631,1537,6
456,True,35,white,1568,1636,5
458,True,71,white,1626,1384,7
461,True,11,white,1646,939,4
463,True,58,white,1667,1668,5
468,True,85,white,1752,1677,2
470,True,41,white,1582,1704,3
471,True,121,white,1693,1666,7
474,True,15,white,1678,1148,10
478,True,51,white,1684,1107,4
480,True,60,white,1525,1693,3
483,True,40,white,1688,1704,2
484,True,29,white,1699,1497,2
491,True,23,white,1684,1720,7
493,True,35,white,1721,1736,6
494,True,53,white,1724,1733,4
496,True,41,white,1741,1496,2
498,True,63,white,1430,1302,5
501,False,73,white,1445,1314,5
503,True,41,white,1300,1333,6
504,True,43,white,1318,1449,4
506,True,41,white,1290,1367,5
510,False,6,white,1814,1299,5
511,True,67,white,1348,1308,3
513,True,103,white,1324,1329,6
517,True,23,white,1403,1340,3
518,True,39,white,1322,1072,5
520,True,41,white,1373,1341,6
521,True,33,white,1350,1265,5
523,True,31,white,1223,1282,4
524,True,15,white,1289,1306,8
526,True,45,white,1170,1179,5
527,True,25,white,1442,1183,8
528,True,15,white,1172,1170,5
530,True,59,white,1171,1190,9
531,True,51,white,1175,1329,10
533,True,27,white,1154,974,5
535,True,79,white,1439,1171,10
536,True,73,white,1245,1170,9
541,True,77,white,1278,1173,3
543,True,51,white,1164,1293,10
544,True,73,white,1353,1170,7
547,True,11,white,1353,1181,4
548,True,61,white,1184,1184,5
549,True,19,white,1171,1252,5
550,True,51,white,1157,1234,7
553,True,27,white,1142,1226,3
555,True,61,white,1123,1084,6
556,True,53,white,1247,1122,3
558,True,16,white,1099,1173,7
560,True,45,white,914,1133,5
561,True,93,white,1125,996,5
562,True,105,white,1242,1125,4
565,True,65,white,1111,1219,7
571,False,101,white,2008,1954,4
575,True,115,white,2100,1960,2
579,True,37,white,2068,1982,11
580,True,81,white,1959,2028,1
581,True,45,white,2005,1969,1
582,True,161,white,1960,1868,2
585,True,119,white,1951,2049,2
593,True,31,white,1265,1957,5
594,True,133,white,1954,1578,9
595,False,65,white,1984,2050,4
601,False,31,white,2050,1852,6
604,False,73,white,1901,1164,8
605,False,35,white,1164,1435,4
606,False,71,white,1435,1164,7
607,False,46,white,1164,1435,7
611,False,49,white,1866,1099,10
612,True,75,white,1211,1230,2
613,True,61,white,1344,1500,4
614,False,41,white,1834,1500,8
616,False,53,white,1635,1500,10
620,True,65,white,1714,1709,5
621,True,71,white,1613,1729,9
625,True,61,white,1708,1729,8
626,True,53,white,1721,1643,4
629,True,51,white,1261,1237,1
630,True,71,white,1100,1306,3
631,False,49,white,1590,1100,7
635,True,11,white,1522,1500,6
640,True,39,white,2336,1830,9
641,True,49,white,2334,1836,6
642,True,43,white,2329,2017,15
644,True,41,white,2323,1881,16
648,True,41,white,2312,1663,6
651,True,29,white,2300,2041,8
652,True,45,white,2288,2148,4
653,True,61,white,2283,1947,7
654,True,19,white,2275,2016,12
656,True,41,white,2263,2006,7
658,True,55,white,2257,1922,9
663,True,49,white,2217,2059,15
665,True,70,white,2175,1936,11
666,True,83,white,2161,1984,8
667,True,57,white,2150,1915,6
671,True,31,white,2104,1344,5
673,True,52,white,2082,1500,7
678,True,107,white,1609,2109,8
680,True,27,white,2091,1704,4
682,False,21,white,1408,1396,4
683,True,91,white,1398,1383,4
684,True,35,white,1387,1399,5
687,True,37,white,1371,1374,4
689,True,40,white,1351,1287,4
692,True,89,white,1332,1500,2
694,True,37,white,1231,1545,8
695,True,48,white,1142,1138,6
697,True,43,white,1392,1500,2
700,True,49,white,1905,1852,2
702,False,77,white,1478,1500,3
704,False,33,white,1478,1362,2
705,False,83,white,1478,1490,5
707,False,29,white,1466,1592,7
708,False,91,white,1466,1582,4
711,True,41,white,1566,1493,6
713,True,43,white,1444,1465,1
716,True,51,white,1436,1439,12
719,True,79,white,1437,1446,9
727,True,65,white,1322,913,3
728,True,23,white,1224,1332,3
734,True,43,white,1348,1381,3
736,True,125,white,911,1356,2
738,False,29,white,1352,1408,4
740,True,65,white,1787,1417,7
743,True,26,white,1723,1814,11
745,True,35,white,1800,1590,5
746,True,23,white,1798,1250,10
749,True,4,white,1758,1804,4
751,True,59,white,1800,1831,4
752,True,77,white,1820,1814,3
754,True,34,white,1914,1842,8
758,True,57,white,2469,2216,11
762,True,71,white,2460,2240,3
765,True,63,white,2447,2005,5
767,True,99,white,2432,2213,8
771,True,39,white,2418,2067,7
773,True,65,white,2409,2182,6
778,True,42,white,1719,1679,6
780,True,59,white,1672,1701,3
783,True,107,white,1687,1717,7
786,False,45,white,1719,1765,7
788,True,93,white,1696,1722,3
790,True,23,white,1833,1740,6
793,True,23,white,1722,1605,8
794,True,91,white,1713,1659,6
796,True,71,white,1690,1613,3
799,True,33,white,1568,1696,8
801,True,51,white,1453,1724,6
806,True,75,white,1709,1716,5
807,True,89,white,1694,1825,5
809,True,49,white,1706,1695,2
810,True,67,white,1683,1717,5
811,True,73,white,1707,1693,2
812,True,43,white,1758,1702,4
816,False,47,white,2334,1800,2
818,True,43,white,1774,1768,2
820,False,75,white,1760,1542,4
821,True,105,white,1713,1609,2
822,True,103,white,1710,1618,1
824,True,45,white,1603,1539,6
828,False,21,white,1821,1832,5
831,False,31,white,1832,1821,7
833,False,80,white,1821,1820,5
834,False,62,white,1500,1821,11
836,True,38,white,1902,1830,8
837,False,61,white,1830,1311,8
839,False,99,white,1548,1842,5
842,True,55,white,1876,1856,4
844,True,27,white,1864,1449,4
849,False,85,white,1878,1906,14
853,True,61,white,1864,1842,5
856,True,49,white,1832,1696,4
865,True,5,white,1894,1539,1
870,True,113,white,2215,1961,18
871,True,125,white,2215,2191,8
872,True,51,white,2215,2147,4
874,True,29,white,2210,1805,7
876,True,43,white,2200,1810,8
880,True,61,white,2121,2118,7
882,True,47,white,2078,1920,9
884,True,47,white,1986,2009,13
886,True,27,white,1904,1544,5
889,True,38,white,1902,1811,1
890,True,51,white,1879,1569,3
891,True,41,white,1805,1749,3
892,True,5,white,1787,1343,2
894,True,33,white,1500,1569,5
895,True,41,white,1541,1690,7
896,True,28,white,1567,1551,3
900,True,123,white,1534,1467,4
901,True,89,white,1524,1499,4
902,True,43,white,1548,1535,3
904,False,20,white,2621,1545,6
906,True,20,white,1432,1559,3
909,True,120,white,1543,1553,3
910,True,111,white,1544,1496,5
911,True,39,white,1519,1556,10
912,True,93,white,1545,1559,3
915,True,75,white,1500,1973,3
917,True,32,white,813,841,3
920,True,39,white,1478,859,2
921,False,31,white,859,1500,4
922,True,29,white,1574,861,8
923,True,27,white,1186,871,2
924,True,57,white,1391,875,5
925,True,68,white,1271,883,2
926,True,95,white,1203,894,4
928,False,27,white,1500,901,2
934,True,15,white,1331,1083,3
935,True,37,white,1266,1130,2
938,False,33,white,1214,1222,2
939,False,41,white,1034,1222,4
940,True,46,white,1535,1273,3
942,False,55,white,1950,2212,1
943,False,49,white,1950,1226,2
952,True,33,white,2023,1671,2
954,True,53,white,1990,1678,2
960,True,28,white,1967,1500,2
961,False,52,white,1967,1295,3
964,False,35,white,1500,1647,5
966,True,119,white,1613,1694,5
967,False,21,white,1500,1500,3
968,False,65,white,1528,1500,3
971,True,73,white,1826,1900,16
977,False,35,white,1619,1625,5
978,False,35,white,1551,1625,9
984,False,65,white,1720,1862,8
988,False,51,white,1674,1862,4
989,False,75,white,2203,1862,6
992,False,12,white,1598,1862,5
993,False,21,white,1708,1862,5
999,False,50,white,1704,1862,6
1002,False,75,white,1799,1862,4
1008,False,99,white,1567,1862,3
1009,False,60,white,1564,1862,2
1010,False,77,white,1862,1140,8
1012,True,61,white,1960,1950,5
1013,True,15,white,2199,1955,7
1015,True,129,white,1937,2090,5
1016,True,25,white,1951,1664,5
1017,True,39,white,1944,1776,8
1020,False,83,white,1500,1500,3
1021,False,66,white,1500,1500,5
1022,False,89,white,1500,1500,3
1024,False,27,white,1500,1500,2
1025,False,76,white,1500,1500,2
1026,False,55,white,1452,1343,6
1027,False,65,white,1343,1376,4
1028,True,63,white,1803,1737,5
1030,True,69,white,1500,1534,3
1031,False,31,white,1500,1421,3
1032,False,15,white,1500,1329,5
1033,False,35,white,1851,1712,6
1034,False,107,white,1712,1714,7
1035,False,43,white,1500,1712,2
1045,False,39,white,1780,1712,8
1050,True,43,white,1582,1494,7
1051,True,27,white,1726,1589,5
1052,True,41,white,1577,1618,2
1054,True,125,white,1693,1585,7
1055,True,16,white,1573,1590,2
1056,True,53,white,1597,1583,3
1057,True,49,white,1603,1594,3
1058,True,59,white,1586,1623,2
1063,True,69,white,1575,1571,5
1065,False,72,white,2065,1976,6
1066,True,63,white,1976,1988,10
1067,True,141,white,1976,1987,4
1073,True,63,white,2229,2002,10
1074,True,63,white,1819,2020,3
1075,True,75,white,2014,1827,8
1078,True,87,white,2008,1744,2
1081,True,33,white,1982,1917,3
1084,True,63,white,2040,1981,10
1086,True,55,white,2131,2018,10
1087,True,95,white,2116,2252,8
1088,True,59,white,1687,1691,12
1093,True,33,white,1663,1758,4
1094,True,161,white,1779,1794,2
1095,True,85,white,1500,1688,4
1101,True,47,white,1873,1651,4
1102,True,103,white,1868,1656,5
1103,True,39,white,1860,1770,5
1107,True,35,white,1833,1873,3
1109,True,35,white,2004,1881,5
1115,True,43,white,1864,1892,8
1118,True,23,white,1893,1624,6
1120,True,45,white,1882,1602,6
1122,True,29,white,1878,1887,10
1125,True,121,white,1881,1828,3
1127,True,75,white,1868,1824,3
1128,True,36,white,1819,1881,10
1129,True,77,white,1871,1841,4
1130,True,33,white,1828,1884,3
1133,True,53,white,1650,1910,4
1134,True,22,white,1968,1921,6
1135,True,51,white,1907,1946,8
1136,True,37,white,1903,1648,6
1138,True,89,white,1894,1506,5
1139,True,73,white,1890,1617,8
1141,True,107,white,1708,1528,4
1143,True,63,white,1759,1790,4
1145,True,55,white,1686,1681,6
1146,True,85,white,1840,1732,4
1148,True,55,white,1791,1716,3
1155,True,29,white,1148,1057,3
1157,True,61,white,1066,1326,7
1158,True,59,white,1625,1384,6
1159,False,9,white,1805,1384,5
1162,True,103,white,1678,1595,2
1166,True,41,white,2291,2144,10
1167,True,39,white,2272,2061,9
1170,True,66,white,2109,2247,5
1171,True,55,white,2062,1978,8
1172,True,65,white,1996,1957,9
1174,True,57,white,1756,1771,8
1176,False,57,white,1432,1916,5
1177,True,21,white,1870,1479,6
1179,True,49,white,2108,1500,3
1189,True,57,white,1547,1564,8
1191,True,99,white,1444,1651,7
1192,True,59,white,1627,1496,4
1194,True,69,white,1604,1446,9
1196,True,77,white,1740,1500,2
1199,True,75,white,1436,1484,10
1201,True,63,white,2053,1914,4
1202,True,67,white,2021,1921,4
1205,True,99,white,1885,1607,2
1209,True,59,white,1500,1603,6
1210,True,57,white,1185,1222,1
1212,True,115,white,1262,1240,4
1214,True,29,white,1133,1264,4
1215,True,33,white,1257,1141,6
1216,True,17,white,1279,1267,11
1217,True,19,white,1315,1264,4
1219,True,27,white,1332,1287,8
1221,True,75,white,1194,1308,7
1223,True,87,white,1291,1262,4
1224,True,29,white,1286,1083,5
1225,True,75,white,1278,1173,3
1228,True,73,white,1329,1271,5
1232,True,13,white,1279,1036,4
1234,True,55,white,1152,1284,4
1235,True,57,white,1277,1122,3
1236,True,97,white,1264,1327,11
1237,True,17,white,1442,1270,8
1238,True,23,white,1260,1233,9
1239,False,54,white,1767,1260,5
1244,True,29,white,1783,1249,8
1248,True,47,white,1247,1380,8
1249,False,37,white,1662,1501,6
1252,False,137,white,1501,1199,6
1253,False,81,white,1199,1501,4
1254,False,83,white,1501,1500,4
1255,False,53,white,1597,1501,5
1256,False,65,white,1501,1619,6
1258,False,55,white,1585,1501,6
1259,False,67,white,1501,1590,4
1261,False,33,white,1702,1501,9
1262,False,73,white,1514,1501,3
1268,False,51,white,1694,1501,3
1272,False,57,white,1500,1501,1
1273,False,19,white,1500,1501,4
1274,False,47,white,1787,1501,7
1276,False,17,white,1707,1501,3
1278,False,24,white,1645,1501,9
1279,False,7,white,1501,1797,6
1280,False,27,white,1501,1501,3
1283,False,85,white,1500,1501,7
1284,False,87,white,1501,1500,4
1285,False,45,white,1501,1513,5
1286,False,63,white,1501,1509,5
1288,False,39,white,1585,1501,5
1291,False,94,white,1501,1500,8
1292,False,29,white,1598,1501,4
1295,False,37,white,1104,1343,2
1297,False,6,white,1104,1228,2
1299,False,29,white,1104,1069,2
1301,False,50,white,1104,1500,2
1304,False,82,white,1104,1139,4
1305,False,18,white,1104,1337,2
1306,False,63,white,1104,1017,5
1309,False,35,white,1500,1104,5
1310,False,87,white,1481,1104,5
1313,False,29,white,1356,1104,7
1314,False,93,white,1024,1104,4
1315,False,57,white,1336,1104,2
1316,False,53,white,1500,1104,1
1318,False,51,white,1430,1104,9
1319,False,77,white,1408,1104,5
1320,False,21,white,1408,1104,7
1321,False,43,white,1499,1104,3
1322,False,81,white,1412,1104,5
1325,True,29,white,1233,1174,3
1328,True,59,white,1225,1252,8
1329,True,11,white,1216,1041,6
1332,True,41,white,1277,1241,2
1333,True,49,white,1233,1013,3
1334,True,45,white,1225,1014,3
1337,False,17,white,1390,1339,3
1341,False,29,white,1444,1327,3
1342,False,39,white,1327,1391,4
1343,False,7,white,1500,1327,5
1345,True,97,white,1313,1360,7
1346,False,14,white,1500,1313,2
1347,False,26,white,958,1313,6
1349,False,11,white,1223,1313,1
1350,False,84,white,1291,1313,4
1351,False,9,white,1313,1500,6
1352,False,9,white,1500,1313,4
1353,False,33,white,1313,1239,4
1355,False,17,white,1428,1313,4
1356,False,73,white,1313,1078,4
1357,False,35,white,1307,1313,4
1359,False,27,white,1313,1399,6
1360,False,77,white,1412,1313,4
1361,True,31,white,1563,1318,6
1363,True,87,white,1412,1337,2
1364,False,43,white,1337,1382,4
1367,True,77,white,1516,1345,6
1370,False,31,white,1418,2003,10
1373,True,18,white,1799,1408,5
1374,True,137,white,2019,1805,6
1376,True,73,white,1757,1825,6
1377,True,141,white,2150,1829,3
1383,True,55,white,1723,1859,2
1384,True,67,white,1853,1675,6
1389,True,47,white,1834,1856,3
1394,True,73,white,1728,1859,1
1396,True,79,white,2096,1870,3
1397,True,71,white,1860,1800,10
1399,True,75,white,1846,1778,11
1401,True,23,white,1842,1300,9
1409,True,27,white,1820,2095,6
1411,True,79,white,1785,2116,6
1412,True,49,white,1769,1926,9
1413,True,40,white,1967,1775,5
1415,True,41,white,1754,1768,10
1416,True,51,white,1756,1765,6
1418,False,113,white,1225,1086,4
1424,False,108,white,1335,1237,9
1425,False,55,white,1237,1335,2
1426,False,79,white,1335,1237,5
1429,True,51,white,1227,1303,9
1430,True,53,white,1214,1115,6
1431,True,53,white,1197,1190,2
1434,False,124,white,2186,1017,5
1435,False,125,white,1108,1017,5
1436,False,39,white,2008,1017,7
1439,False,30,white,1657,1362,3
1440,True,4,white,1804,1372,4
1442,True,53,white,1414,1182,6
1443,True,59,white,1171,1432,7
1447,False,39,white,1401,1467,2
1453,True,115,white,1445,1407,5
1454,True,52,white,1394,1659,4
1455,True,57,white,1383,1384,2
1456,True,105,white,1397,1394,6
1458,True,53,white,1430,1416,4
1459,True,91,white,1467,1426,6
1460,False,39,white,1426,1500,6
1462,False,50,white,1426,1207,5
1465,False,39,white,1413,1500,3
1468,False,45,white,1688,1413,4
1470,False,48,white,1500,1407,5
1473,False,41,white,1430,1407,3
1474,False,23,white,2139,1407,5
1476,True,67,white,1162,1273,6
1480,True,23,white,1217,1176,2
1483,True,57,white,1396,1131,4
1484,True,19,white,1237,1565,9
1486,True,35,white,1699,1457,4
1487,False,41,white,1699,1500,8
1488,True,75,white,1500,1545,3
1494,True,51,white,1278,1380,6
1497,True,129,white,1301,1401,2
1498,True,129,white,1390,1423,5
1505,True,57,white,1397,1327,7
1506,True,13,white,1374,1408,1
1508,True,63,white,1306,1429,2
1510,True,42,white,1463,1432,1
1511,True,50,white,1440,1443,8
1512,True,25,white,1432,1456,11
1519,True,39,white,1349,1419,7
1520,True,63,white,1412,1305,6
1522,True,15,white,1413,1434,2
1523,True,47,white,1408,1184,7
1524,True,44,white,1500,1414,2
1526,True,73,white,1697,1592,2
1529,True,41,white,1596,1711,3
1531,True,63,white,1721,1857,5
1536,True,73,white,1716,1856,8
1537,True,93,white,1710,1712,12
1539,True,33,white,1685,1609,2
1540,False,47,white,1472,1445,5
1541,False,23,white,1472,1500,5
1542,False,84,white,1472,1218,3
1543,False,6,white,1161,1472,3
1545,False,35,white,1493,1500,3
1547,False,61,white,1493,1463,3
1550,False,31,white,1500,1482,4
1551,True,49,white,1477,1189,3
1553,False,115,white,1476,1524,4
1554,False,59,white,1500,1170,3
1557,False,49,white,1219,1229,5
1558,False,45,white,1659,1500,6
1561,True,33,white,1147,1121,5
1562,True,69,white,1209,1261,4
1565,True,74,white,2352,2366,7
1566,True,161,white,2351,2363,5
1568,True,39,white,1724,1605,3
1569,True,91,white,1364,1327,8
1570,False,53,white,1327,1355,6
1571,True,35,white,1367,1343,5
1574,True,111,white,1347,1186,7
1575,True,27,white,1334,1400,3
1578,True,25,white,1295,1821,4
1583,True,61,white,1350,1285,7
1584,True,63,white,1383,1286,7
1587,True,33,white,1282,1018,5
1588,True,17,white,1231,1295,11
1591,True,47,white,1383,1307,4
1592,True,25,white,1296,1284,3
1593,True,71,white,1600,1300,6
1594,True,57,white,1282,1492,4
1596,True,17,white,1264,1367,6
1597,True,51,white,1393,1272,4
1599,True,39,white,1267,1370,4
1600,True,49,white,1349,1276,3
1602,True,95,white,1526,1290,1
1603,True,45,white,1460,1296,10
1605,True,51,white,1279,1625,7
1606,True,43,white,1455,1272,8
1607,True,29,white,1253,1472,6
1609,True,53,white,1500,1509,5
1610,True,25,white,2165,1973,6
1613,True,83,white,2173,1831,3
1615,True,101,white,2156,2181,5
1616,True,37,white,2175,1983,14
1621,True,67,white,1507,1497,7
1625,True,64,white,1558,1526,3
1626,True,53,white,1491,1438,5
1627,True,71,white,1447,1439,2
1628,True,41,white,1455,1506,4
1629,True,77,white,1570,1565,8
1630,False,7,white,1238,1500,3
1631,False,7,white,1500,1238,3
1634,False,23,white,1443,1500,5
1639,True,32,white,1258,1331,2
1640,True,65,white,1320,1291,4
1644,True,73,white,1336,1292,2
1647,True,45,white,1295,1321,2
1648,True,117,white,1278,1463,3
1649,True,123,white,1363,1287,2
1650,True,45,white,1275,1287,4
1651,True,89,white,1201,1290,10
1652,True,73,white,1214,925,5
1653,True,105,white,966,937,2
1655,True,61,white,784,970,3
1656,True,101,white,1161,958,4
1658,False,79,white,1148,972,4
1660,True,13,white,1181,978,2
1661,True,21,white,958,1008,3
1665,True,105,white,964,1029,3
1667,True,47,white,808,973,1
1668,True,11,white,1095,986,4
1670,True,13,white,912,1024,4
1675,True,33,white,1082,1070,2
1676,True,141,white,1044,1080,2
1677,True,30,white,1070,1069,2
1678,False,107,white,1206,1069,3
1681,True,19,white,1038,1074,6
1682,True,53,white,1266,1053,2
1688,False,39,white,1638,940,7
1689,True,105,white,1649,1672,3
1691,True,39,white,1711,1645,5
1696,True,103,white,1648,1672,5
1697,True,79,white,1595,1660,6
1698,True,31,white,1671,1671,3
1699,True,25,white,1660,1665,5
1700,True,31,white,1682,1670,3
1703,True,87,white,1730,1703,6
1704,True,41,white,1799,1711,3
1708,True,97,white,1701,1680,3
1709,True,101,white,1964,1705,3
1713,True,43,white,1704,1775,7
1714,True,61,white,1772,1713,6
1715,True,41,white,1699,1800,7
1717,True,61,white,1679,1730,4
1719,True,33,white,1661,1675,3
1722,True,141,white,1637,1661,4
1724,True,127,white,1620,1549,8
1725,True,103,white,1535,1634,5
1726,True,71,white,1347,1268,1
1727,True,61,white,1400,1500,5
1729,True,73,white,1258,1362,3
1732,True,72,white,1605,1367,3
1736,True,35,white,1576,1539,5
1737,True,29,white,1191,1598,3
1738,True,41,white,1595,1223,6
1739,True,95,white,1301,1616,4
1740,True,79,white,1611,1371,4
1746,True,75,white,1569,1349,5
1747,True,87,white,1728,1576,6
1748,True,111,white,1560,1686,3
1749,True,40,white,1550,1482,7
1751,True,109,white,1775,1558,9
1752,True,31,white,1549,1570,5
1757,True,63,white,1575,1281,4
1760,True,71,white,1574,1561,6
1762,True,123,white,1651,1573,5
1763,True,99,white,1569,1298,5
1765,True,57,white,1349,1403,6
1766,True,29,white,1418,1415,3
1767,True,45,white,1403,1403,8
1768,True,9,white,1395,1273,2
1771,True,67,white,1545,1405,5
1777,True,41,white,1285,1400,4
1780,True,93,white,1406,1338,5
1784,True,111,white,1586,1383,5
1788,True,77,white,1383,1045,3
1789,True,45,white,1383,1045,3
1793,True,89,white,1980,1860,11
1794,True,59,white,1171,1432,7
