,country,points,price,province,taster_name,variety,winery
6221,US,85,19.0,Oregon,Paul Gregutt,Pinot Gris,Coeur de Terre
7411,US,86,15.0,Oregon,Paul Gregutt,Pinot Gris,Cloudline
7462,US,86,16.0,New York,Anna Lee C. Iijima,Pinot Gris,Hosmer
7491,US,83,12.0,Oregon,Paul Gregutt,Pinot Gris,Bridgeview
7635,US,87,18.0,Oregon,Paul Gregutt,Pinot Gris,Apolloni
7742,US,88,24.0,Oregon,Paul Gregutt,Pinot Gris,Laurelwood
8030,US,86,13.0,Oregon,Paul Gregutt,Pinot Gris,Kings Ridge
8315,US,92,22.0,California,Virginie Boone,Pinot Gris,Thirty-Seven Wines
8461,US,92,17.0,Oregon,Paul Gregutt,Pinot Gris,Ponzi
8959,US,89,14.0,Oregon,Paul Gregutt,Pinot Gris,Redhawk
9010,US,88,20.0,Oregon,Paul Gregutt,Pinot Gris,Lachini
9028,US,91,22.0,Oregon,Paul Gregutt,Pinot Gris,King Estate
9579,US,86,14.0,Oregon,Sean P. Sullivan,Pinot Gris,Foris
9660,US,90,32.0,Oregon,Paul Gregutt,Pinot Gris,Big Table Farm
10310,US,91,22.0,Oregon,Paul Gregutt,Pinot Gris,Lachini
10483,US,90,14.0,Oregon,Paul Gregutt,Pinot Gris,Deer Creek
10965,US,86,12.0,Oregon,Paul Gregutt,Pinot Gris,Château Bianca
10999,US,90,20.0,Oregon,Paul Gregutt,Pinot Gris,Coelho
11260,US,88,20.0,California,Virginie Boone,Pinot Gris,Horse & Plow
11482,US,87,19.0,California,Virginie Boone,Pinot Gris,Philo Ridge
11663,US,87,14.0,Idaho,Sean P. Sullivan,Pinot Gris,Sawtooth
11703,US,90,20.0,Oregon,Paul Gregutt,Pinot Gris,Lumos
11731,US,89,16.0,Oregon,Paul Gregutt,Pinot Gris,Rex Hill
11737,US,89,18.0,Oregon,Paul Gregutt,Pinot Gris,LaVelle
12037,US,90,18.0,Oregon,Paul Gregutt,Pinot Gris,Lange
12509,US,86,18.0,New York,Anna Lee C. Iijima,Pinot Gris,Hazlitt 1852 Vineyards
13022,US,81,16.0,Washington,Paul Gregutt,Pinot Gris,Naches Heights
13185,US,87,13.0,Washington,Paul Gregutt,Pinot Gris,Mercer
13495,US,85,16.0,New York,Anna Lee C. Iijima,Pinot Gris,Atwater
13692,US,91,19.0,Oregon,Paul Gregutt,Pinot Gris,Elk Cove
14245,US,88,19.0,Oregon,Paul Gregutt,Pinot Gris,Chehalem
14498,US,88,10.0,Washington,Sean P. Sullivan,Pinot Gris,Chateau Ste. Michelle
14709,US,89,20.0,Oregon,Paul Gregutt,Pinot Gris,Emerson
15001,US,91,19.0,Oregon,Paul Gregutt,Pinot Gris,Ponzi
15234,US,87,16.0,New York,Anna Lee C. Iijima,Pinot Gris,Hosmer
15319,US,89,19.0,Oregon,Paul Gregutt,Pinot Gris,Sokol Blosser
15361,US,86,20.0,California,Matt Kettmann,Pinot Gris,Still Waters
15957,US,85,18.0,Washington,Sean P. Sullivan,Pinot Gris,Bunnell
15972,US,85,15.0,California,Jim Gordon,Pinot Gris,McFadden
16205,US,90,16.0,New York,Anna Lee C. Iijima,Pinot Gris,Sheldrake Point
16917,US,86,12.0,Oregon,Paul Gregutt,Pinot Gris,Duck Pond
17148,US,84,14.0,California,Virginie Boone,Pinot Gris,Cline
17312,US,89,16.0,Oregon,Paul Gregutt,Pinot Gris,Spindrift Cellars
17336,US,90,25.0,California,Matt Kettmann,Pinot Gris,Claiborne & Churchill
17359,US,88,20.0,Oregon,Paul Gregutt,Pinot Gris,Yamhill Valley
17539,US,86,20.0,California,Matt Kettmann,Pinot Gris,Stephen Ross
17644,US,87,15.0,Oregon,Paul Gregutt,Pinot Gris,Illahe
17688,US,85,14.0,Oregon,Paul Gregutt,Pinot Gris,Oak Knoll
17897,US,85,20.0,Oregon,Paul Gregutt,Pinot Gris,Hedgeline
18019,US,92,18.0,Washington,Paul Gregutt,Pinot Gris,pb
18125,US,89,11.0,Washington,Paul Gregutt,Pinot Gris,Chateau Ste. Michelle
18493,US,86,15.0,Oregon,Paul Gregutt,Pinot Gris,Spindrift Cellars
18752,US,88,17.0,Oregon,Paul Gregutt,Pinot Gris,Seven Hills
18837,US,87,14.0,Oregon,Paul Gregutt,Pinot Gris,Foris
18954,US,91,16.0,Oregon,Paul Gregutt,Pinot Gris,Spindrift Cellars
19100,US,87,16.0,Oregon,Paul Gregutt,Pinot Gris,River's Edge
19118,US,87,19.0,California,Matt Kettmann,Pinot Gris,Alma Rosa
19318,US,94,33.0,Oregon,Paul Gregutt,Pinot Gris,The Eyrie Vineyards
19326,US,93,19.0,Oregon,Paul Gregutt,Pinot Gris,Sokol Blosser
19343,US,88,16.0,California,Virginie Boone,Pinot Gris,Folie à Deux
19442,US,85,12.0,Oregon,Paul Gregutt,Pinot Gris,Kings Ridge
19490,US,85,18.0,Oregon,Paul Gregutt,Pinot Gris,Capitello
19533,US,91,18.0,Oregon,Paul Gregutt,Pinot Gris,Iris Vineyards
20039,US,91,24.0,Oregon,Paul Gregutt,Pinot Gris,Duck Pond
20087,US,87,17.0,New York,Anna Lee C. Iijima,Pinot Gris,Inspire Moore
20104,US,88,16.0,New York,Anna Lee C. Iijima,Pinot Gris,Sheldrake Point
20122,US,88,20.0,New York,Anna Lee C. Iijima,Pinot Gris,Dr. Konstantin Frank
20166,US,90,19.0,Oregon,Paul Gregutt,Pinot Gris,Adelsheim
20289,US,88,17.0,California,Matt Kettmann,Pinot Gris,Tangent
20421,US,88,16.0,Washington,Sean P. Sullivan,Pinot Gris,Julia's Dazzle
20455,US,85,17.0,Oregon,Paul Gregutt,Pinot Gris,Archer
20510,US,90,50.0,California,Jim Gordon,Pinot Gris,Lichen Estate
20573,US,86,14.0,Oregon,Paul Gregutt,Pinot Gris,Oak Knoll
20666,US,87,15.0,Oregon,Paul Gregutt,Pinot Gris,Illahe
20841,US,89,22.0,Washington,Paul Gregutt,Pinot Gris,Gård
20890,US,88,20.0,California,Virginie Boone,Pinot Gris,MacMurray Estate Vineyards
21018,US,84,16.0,Washington,Sean P. Sullivan,Pinot Gris,Canoe Ridge
21549,US,88,11.0,Washington,Paul Gregutt,Pinot Gris,Waterbrook
21635,US,89,21.0,California,Virginie Boone,Pinot Gris,Philo Ridge
22249,US,88,24.0,Oregon,Paul Gregutt,Pinot Gris,Phelps Creek
22434,US,89,20.0,California,Virginie Boone,Pinot Gris,Navarro
22473,US,86,22.0,Oregon,Paul Gregutt,Pinot Gris,Chehalem
22601,US,89,14.0,Oregon,Paul Gregutt,Pinot Gris,Rainstorm
22633,US,88,19.0,Oregon,Paul Gregutt,Pinot Gris,Arbor Brook
22923,US,88,15.0,Oregon,Paul Gregutt,Pinot Gris,Illahe
22926,US,88,18.0,Oregon,Paul Gregutt,Pinot Gris,Left Coast Cellars
22967,US,87,16.0,Oregon,Paul Gregutt,Pinot Gris,Seven of Hearts
23124,US,89,16.0,California,Jim Gordon,Pinot Gris,Boeger
23154,US,90,18.0,Oregon,Paul Gregutt,Pinot Gris,Lange
23299,US,91,18.0,Oregon,Paul Gregutt,Pinot Gris,Vista Hills
23609,US,91,19.0,Oregon,Paul Gregutt,Pinot Gris,Ponzi
23726,US,88,18.0,Oregon,Paul Gregutt,Pinot Gris,Left Coast Cellars
23965,US,94,30.0,Oregon,Paul Gregutt,Pinot Gris,Rex Hill
24011,US,92,36.0,California,Virginie Boone,Pinot Gris,Occasio
24203,US,87,18.0,Oregon,Paul Gregutt,Pinot Gris,Left Coast Cellars
24364,US,86,12.0,Oregon,Paul Gregutt,Pinot Gris,Valley View
24382,US,88,16.0,Oregon,Paul Gregutt,Pinot Gris,Highland Springs
24421,US,92,22.0,Oregon,Paul Gregutt,Pinot Gris,Iris Vineyards
24989,US,87,16.0,New York,Anna Lee C. Iijima,Pinot Gris,Sheldrake Point
25039,US,88,16.0,Washington,Sean P. Sullivan,Pinot Gris,6 Under
25295,US,86,18.0,Washington,Paul Gregutt,Pinot Gris,Goose Ridge
25644,US,90,18.0,Oregon,Paul Gregutt,Pinot Gris,Lemelson
25746,US,91,20.0,California,Jim Gordon,Pinot Gris,Navarro
25843,US,88,15.0,Washington,Paul Gregutt,Pinot Gris,Columbia Crest
25946,US,87,12.0,Oregon,Paul Gregutt,Pinot Gris,Acrobat
26176,US,89,29.0,Oregon,Paul Gregutt,Pinot Gris,Winter's Hill
26188,US,89,16.0,Oregon,Paul Gregutt,Pinot Gris,Brandborg
26345,US,86,16.0,New York,Anna Lee C. Iijima,Pinot Gris,Hosmer
26389,US,93,16.0,Oregon,Paul Gregutt,Pinot Gris,David Hill
27006,US,87,15.0,Washington,Sean P. Sullivan,Pinot Gris,Willow Crest
27008,US,87,10.0,Washington,Paul Gregutt,Pinot Gris,14 Hands
27018,US,88,20.0,Oregon,Paul Gregutt,Pinot Gris,Panther Creek
27106,US,83,15.0,Oregon,Paul Gregutt,Pinot Gris,Lundeen
27213,US,83,10.0,Washington,Sean P. Sullivan,Pinot Gris,14 Hands
27249,US,90,50.0,California,Jim Gordon,Pinot Gris,Lichen Estate
27394,US,86,13.0,Washington,Sean P. Sullivan,Pinot Gris,Jones of Washington
27397,US,86,9.0,Washington,Sean P. Sullivan,Pinot Gris,WildHaven
27840,US,86,16.0,New York,Anna Lee C. Iijima,Pinot Gris,Billsboro
28146,US,90,15.0,Oregon,Paul Gregutt,Pinot Gris,David Hill
28158,US,90,16.0,Oregon,Paul Gregutt,Pinot Gris,Sweet Cheeks
28171,US,90,28.0,Oregon,Paul Gregutt,Pinot Gris,Antiquum Farm
28304,US,86,13.0,Washington,Sean P. Sullivan,Pinot Gris,Jones of Washington
28318,US,87,15.0,Oregon,Paul Gregutt,Pinot Gris,Silvan Ridge
28329,US,86,14.0,Oregon,Paul Gregutt,Pinot Gris,Erath
28371,US,88,18.0,Oregon,Paul Gregutt,Pinot Gris,Daedalus Cellars
28387,US,88,17.0,Oregon,Paul Gregutt,Pinot Gris,RoxyAnn
28484,US,90,16.0,California,Jim Gordon,Pinot Gris,McFadden
28512,US,87,20.0,Washington,Sean P. Sullivan,Pinot Gris,Ross Andrew
28932,US,90,18.0,Oregon,Paul Gregutt,Pinot Gris,Elizabeth Chambers
29253,US,90,20.0,Washington,Sean P. Sullivan,Pinot Gris-Gewürztraminer,Cor Cellars
29273,US,90,19.0,Washington,Paul Gregutt,Pinot Gris,Convergence Zone
29564,US,83,14.0,Oregon,Michael Schachner,Pinot Gris,Silvan Ridge
29579,US,82,13.0,Oregon,Michael Schachner,Pinot Gris,Willamette Valley Vineyards
29669,US,88,17.0,Oregon,Paul Gregutt,Pinot Gris,King Estate
29830,US,88,15.0,New York,Anna Lee C. Iijima,Pinot Gris,Thirsty Owl Wine Company
29841,US,88,17.0,New York,Anna Lee C. Iijima,Pinot Gris,Billsboro
29852,US,88,14.0,Washington,Sean P. Sullivan,Pinot Gris,Nine Hats
30243,US,86,15.0,Oregon,Paul Gregutt,Pinot Gris,Silvan Ridge
30309,US,85,16.0,Washington,Sean P. Sullivan,Pinot Gris,Goose Ridge
30346,US,88,18.0,California,Virginie Boone,Pinot Gris,Hendry
30376,US,91,20.0,California,Virginie Boone,Pinot Gris,Horse & Plow
30629,US,87,20.0,California,Matt Kettmann,Pinot Gris,La Crema
30705,US,88,13.0,Oregon,Paul Gregutt,Pinot Gris,Lujon
30852,US,87,13.0,Oregon,Paul Gregutt,Pinot Gris,Oak Knoll
30863,US,87,20.0,Oregon,Paul Gregutt,Pinot Gris,Torii Mor
31103,US,86,25.0,Oregon,Paul Gregutt,Pinot Gris,Duck Pond
31135,US,85,12.0,Washington,Sean P. Sullivan,Pinot Gris,Skyfall
31157,US,92,20.0,California,Virginie Boone,Pinot Gris,Handley
31167,US,90,21.0,Washington,Sean P. Sullivan,Pinot Gris,Ross Andrew
31392,US,88,18.0,Oregon,Paul Gregutt,Pinot Gris,Lumos
31637,US,85,16.0,New York,Anna Lee C. Iijima,Pinot Gris,Hosmer
31718,US,88,22.0,Oregon,Paul Gregutt,Pinot Gris,Erath
32041,US,91,24.0,Oregon,Paul Gregutt,Pinot Gris,Duck Pond
32138,US,88,20.0,Oregon,Paul Gregutt,Pinot Gris,King Vintners
32350,US,89,14.0,Oregon,Paul Gregutt,Pinot Gris,Wine by Joe
32660,US,87,15.0,Washington,Paul Gregutt,Pinot Gris,Columbia Crest
32695,US,90,14.0,Oregon,Paul Gregutt,Pinot Gris,Kings Ridge
32727,US,90,24.0,California,Jim Gordon,Pinot Gris,Wargin Wines
32969,US,90,18.0,Oregon,Paul Gregutt,Pinot Gris,Elizabeth Chambers
33141,US,85,18.0,Oregon,Paul Gregutt,Pinot Gris,Van Duzer
33202,US,90,25.0,California,Virginie Boone,Pinot Gris,Buena Vista
33208,US,90,18.0,Oregon,Paul Gregutt,Pinot Gris,Iris Vineyards
33449,US,88,16.0,New York,Anna Lee C. Iijima,Pinot Gris,Sheldrake Point
33511,US,86,13.0,Oregon,Paul Gregutt,Pinot Gris,Kudos
33552,US,88,30.0,California,Virginie Boone,Pinot Gris,Keller
33820,US,88,13.0,Oregon,Paul Gregutt,Pinot Gris,O'Reilly's
33861,US,87,12.0,Idaho,Sean P. Sullivan,Pinot Gris,Sawtooth
33945,US,88,12.0,Washington,Paul Gregutt,Pinot Gris,Waterbrook
34210,US,86,16.0,Oregon,Paul Gregutt,Pinot Gris,La Chouette
34415,US,89,14.0,Oregon,Paul Gregutt,Pinot Gris,Duck Pond
34738,US,92,17.0,Oregon,Paul Gregutt,Pinot Gris,The Eyrie Vineyards
34745,US,92,24.0,Oregon,Paul Gregutt,Pinot Gris,King Estate
34878,US,88,17.0,Oregon,Paul Gregutt,Pinot Gris,RoxyAnn
34943,US,91,21.0,Oregon,Paul Gregutt,Pinot Gris,The Eyrie Vineyards
35476,US,90,14.0,Washington,Sean P. Sullivan,Pinot Gris,Nine Hats
35521,US,87,19.0,Oregon,Paul Gregutt,Pinot Gris,Hawkins Cellars
35740,US,91,13.0,Oregon,Paul Gregutt,Pinot Gris,Acrobat
35748,US,91,35.0,Oregon,Paul Gregutt,Pinot Gris,Aubichon Cellars
35869,US,87,17.0,Oregon,Paul Gregutt,Pinot Gris,Lumos
35916,US,91,28.0,Oregon,Paul Gregutt,Pinot Gris,Antiquum Farm
36055,US,90,19.0,Oregon,Paul Gregutt,Pinot Gris,Adelsheim
36351,US,88,18.0,Washington,Paul Gregutt,Pinot Gris,Stella Fino
36380,US,88,20.0,Oregon,Paul Gregutt,Pinot Gris,Hawkins Cellars
36407,US,87,13.0,Oregon,Paul Gregutt,Pinot Gris,Illahe
36667,US,92,28.0,Oregon,Paul Gregutt,Pinot Gris,Lange
37081,US,88,17.0,Oregon,Paul Gregutt,Pinot Gris,Benton-Lane
37226,US,90,24.0,California,Jim Gordon,Pinot Gris,Toulouse
37409,US,90,24.0,Oregon,Paul Gregutt,Pinot Gris,King Estate
37423,US,90,15.0,Oregon,Paul Gregutt,Pinot Gris,Scenic Valley Farms
37782,US,87,13.0,Washington,Paul Gregutt,Pinot Gris,Milbrandt
37859,US,89,13.0,Oregon,Paul Gregutt,Pinot Gris,A to Z
37953,US,85,12.0,Washington,Sean P. Sullivan,Pinot Gris,Columbia Crest
37954,US,85,19.0,Washington,Sean P. Sullivan,Pinot Gris,Convergence Zone
38041,US,90,22.0,Oregon,Paul Gregutt,Pinot Gris,St. Innocent
38127,US,90,21.0,Oregon,Paul Gregutt,Pinot Gris,WillaKenzie Estate
38131,US,89,19.0,Oregon,Paul Gregutt,Pinot Gris,Lemelson
38524,US,89,20.0,California,Matt Kettmann,Pinot Gris,Carlson
38542,US,92,20.0,Oregon,Paul Gregutt,Pinot Gris,WillaKenzie Estate
38614,US,88,13.0,Washington,Paul Gregutt,Pinot Gris,Waterbrook
38616,US,88,12.0,Oregon,Paul Gregutt,Pinot Gris,A to Z
38870,US,87,23.0,New York,Susan Kostrzewa,Pinot Gris,Red Newt Cellars
38877,US,87,22.0,New York,Susan Kostrzewa,Pinot Gris,Wölffer
39042,US,87,16.0,Oregon,Paul Gregutt,Pinot Gris,Hawkins Cellars
39189,US,88,17.0,Oregon,Paul Gregutt,Pinot Gris,A Blooming Hill Vineyard
39428,US,90,18.0,Oregon,Paul Gregutt,Pinot Gris,Westrey
39476,US,91,17.0,Oregon,Paul Gregutt,Pinot Gris,David Hill
39825,US,90,17.0,Oregon,Paul Gregutt,Pinot Gris,Benton-Lane
39837,US,87,14.0,Washington,Sean P. Sullivan,Pinot Gris,Jones of Washington
40010,US,87,18.0,Oregon,Paul Gregutt,Pinot Gris,Pino
40090,US,90,25.0,Oregon,Paul Gregutt,Pinot Gris,Aubichon Cellars
40100,US,90,20.0,Oregon,Paul Gregutt,Pinot Gris,Chehalem
40118,US,87,18.0,Oregon,Paul Gregutt,Pinot Gris,Van Duzer
40122,US,87,25.0,Washington,Sean P. Sullivan,Pinot Gris,Bontzu
40218,US,86,16.0,Washington,Paul Gregutt,Pinot Gris,Maryhill
40251,US,91,20.0,Oregon,Paul Gregutt,Pinot Gris,The Four Graces
40371,US,91,22.0,California,Matt Kettmann,Pinot Gris,Flying Goat Cellars
40384,US,87,12.0,Washington,Sean P. Sullivan,Pinot Gris,Lone Birch
40683,US,87,15.0,Washington,Paul Gregutt,Pinot Gris,Mercer
40755,US,82,12.0,Oregon,Paul Gregutt,Pinot Gris,Château Bianca
40998,US,86,19.0,Washington,Sean P. Sullivan,Pinot Gris,Boomtown
41049,US,89,20.0,Oregon,Paul Gregutt,Pinot Gris,Keeler
41272,US,91,18.0,Oregon,Paul Gregutt,Pinot Gris,Wy'East Vineyards
41358,US,86,12.0,Oregon,Paul Gregutt,Pinot Gris,Château Bianca
41572,US,86,13.0,America,Sean P. Sullivan,Pinot Gris,Rascal
41832,US,88,17.0,Oregon,Paul Gregutt,Pinot Gris,Benton-Lane
42005,US,87,25.0,Oregon,Paul Gregutt,Pinot Gris,Portlandia
42158,US,91,15.0,Oregon,Paul Gregutt,Pinot Gris,David Hill
42376,US,83,13.0,California,Jim Gordon,Pinot Gris,Entwine
42431,US,88,20.0,New York,Anna Lee C. Iijima,Pinot Gris,Osprey's Dominion
42473,US,89,20.0,Oregon,Paul Gregutt,Pinot Gris,Raptor Ridge
42751,US,91,17.0,Oregon,Paul Gregutt,Pinot Gris,Ponzi
42763,US,91,20.0,Oregon,Paul Gregutt,Pinot Gris,Coelho
42840,US,89,16.0,Oregon,Paul Gregutt,Pinot Gris,Left Coast Cellars
42870,US,89,17.0,Oregon,Paul Gregutt,Pinot Gris,Coeur de Terre
43191,US,90,26.0,California,Jim Gordon,Pinot Gris,Donkey & Goat
43490,US,90,15.0,California,Jim Gordon,Pinot Gris,Kendall-Jackson
43621,US,84,23.0,Virginia,Alexander Peartree,Pinot Gris,Early Mountain
43762,US,88,17.0,Oregon,Paul Gregutt,Pinot Gris,Winter's Hill
44029,US,87,14.0,Oregon,Paul Gregutt,Pinot Gris,Grandmaster
44306,US,88,15.0,Oregon,Paul Gregutt,Pinot Gris,Eola Hills
44429,US,90,20.0,California,Jim Gordon,Pinot Gris,Handley
44438,US,90,18.0,Oregon,Paul Gregutt,Pinot Gris,Lumos
44831,US,86,25.0,Oregon,Paul Gregutt,Pinot Gris,Gypsy Dancer
45098,US,85,14.0,Washington,Sean P. Sullivan,Pinot Gris,Alexandria Nicole
45651,US,86,12.0,Oregon,Paul Gregutt,Pinot Gris,Château Bianca
45667,US,88,18.0,Oregon,Paul Gregutt,Pinot Gris,Ancient Cellars
45831,US,84,20.0,New York,Anna Lee C. Iijima,Pinot Gris,Hector Wine Company
45981,US,90,14.0,Oregon,Paul Gregutt,Pinot Gris,Foris
46245,US,86,15.0,Oregon,Paul Gregutt,Pinot Gris,Kramer
46685,US,93,38.0,Oregon,Paul Gregutt,Pinot Gris,Ponzi
46811,US,86,10.0,Washington,Paul Gregutt,Pinot Gris,Columbia Winery
46996,US,86,16.0,New York,Anna Lee C. Iijima,Pinot Gris,Adirondack Winery
47118,US,91,21.0,Oregon,Paul Gregutt,Pinot Gris,Owen Roe
47124,US,91,19.0,Oregon,Paul Gregutt,Pinot Gris,Wy'East Vineyards
47483,US,91,12.0,Washington,Paul Gregutt,Pinot Gris,Jones of Washington
47865,US,88,12.0,Washington,Paul Gregutt,Pinot Gris,Waterbrook
47889,US,88,16.0,New York,Anna Lee C. Iijima,Pinot Gris,Sheldrake Point
47892,US,88,14.0,New York,Anna Lee C. Iijima,Pinot Gris,Lakewood
48045,US,87,13.0,Oregon,Paul Gregutt,Pinot Gris,Eola Hills
48162,US,91,45.0,Oregon,Paul Gregutt,Pinot Gris,Aubichon Cellars
48843,US,90,35.0,Oregon,Paul Gregutt,Pinot Gris,Aubichon Cellars
49014,US,89,14.0,Oregon,Paul Gregutt,Pinot Gris,A to Z
49073,US,87,12.0,Washington,Sean P. Sullivan,Pinot Gris,Waterbrook
49082,US,87,20.0,California,Virginie Boone,Pinot Gris,Horse & Plow
49448,US,91,17.0,Washington,Paul Gregutt,Pinot Gris,Convergence Zone
49661,US,87,12.0,Oregon,Paul Gregutt,Pinot Gris,Seven Hills
49807,US,91,26.0,Oregon,Paul Gregutt,Pinot Gris,Carabella
50218,US,87,32.0,California,Virginie Boone,Pinot Gris,FlyWine
50277,US,91,24.0,Oregon,Paul Gregutt,Pinot Gris,King Estate
50525,US,89,16.0,Oregon,Paul Gregutt,Pinot Gris,Jovino
50537,US,89,14.0,Oregon,Paul Gregutt,Pinot Gris,Wine by Joe
50846,US,85,18.0,Oregon,Michael Schachner,Pinot Gris,Sokol Blosser
50851,US,83,20.0,Oregon,Paul Gregutt,Pinot Gris,Deer Creek
51132,US,85,20.0,Washington,Paul Gregutt,Pinot Gris,Vin du Lac
51328,US,90,12.0,Washington,Paul Gregutt,Pinot Gris,Willow Crest
51533,US,86,18.0,Washington,Paul Gregutt,Pinot Gris,Vin du Lac
51545,US,91,22.0,Oregon,Paul Gregutt,Pinot Gris,Lange
51685,US,86,22.0,California,Virginie Boone,Pinot Gris,Brassfield
51912,US,88,16.0,New York,Anna Lee C. Iijima,Pinot Gris,Sheldrake Point
52729,US,84,15.0,Oregon,Paul Gregutt,Pinot Gris,Siltstone
53473,US,87,15.0,New York,Anna Lee C. Iijima,Pinot Gris,Thirsty Owl Wine Company
53616,US,89,13.0,Washington,Sean P. Sullivan,Pinot Gris,Mercer
53797,US,91,22.0,Oregon,Paul Gregutt,Pinot Gris,Iris Vineyards
53977,US,90,32.0,Oregon,Paul Gregutt,Pinot Gris,Big Table Farm
54021,US,87,18.0,Oregon,Paul Gregutt,Pinot Gris,Portlandia
54071,US,85,15.0,Oregon,Paul Gregutt,Pinot Gris,Château Bianca
54176,US,90,16.0,Oregon,Paul Gregutt,Pinot Gris,Provincial Vineyards
54434,US,88,20.0,Oregon,Paul Gregutt,Pinot Gris,Keeler
54536,US,90,14.0,Oregon,Paul Gregutt,Pinot Gris,Rainstorm
54608,US,90,18.0,Oregon,Paul Gregutt,Pinot Gris,The Four Graces
54955,US,93,48.0,Oregon,Paul Gregutt,Pinot Gris,Archery Summit
54962,US,93,34.0,California,Matt Kettmann,Pinot Gris,Aequorea
55125,US,85,18.0,Michigan,Alexander Peartree,Pinot Gris,Black Star Farms
55255,US,91,17.0,Oregon,Paul Gregutt,Pinot Gris,Cristom
55294,US,86,12.0,Washington,Sean P. Sullivan,Pinot Gris,Lone Birch
55419,US,87,18.0,Washington,Paul Gregutt,Pinot Gris,Vin du Lac
55515,US,83,11.0,Washington,Sean P. Sullivan,Pinot Gris,The Great Oregon Wine Company
55595,US,88,14.0,New York,Anna Lee C. Iijima,Pinot Gris,Lakewood
56424,US,91,32.0,Oregon,Paul Gregutt,Pinot Gris,Alexana
56530,US,87,14.0,Oregon,Paul Gregutt,Pinot Gris,Erath
56559,US,88,24.0,New York,Anna Lee C. Iijima,Pinot Gris,Red Newt Cellars
57147,US,91,16.0,Oregon,Paul Gregutt,Pinot Gris,Iris Vineyards
57160,US,91,26.0,Oregon,Paul Gregutt,Pinot Gris,Hawks View
57490,US,86,19.0,Oregon,Paul Gregutt,Pinot Gris,Corvallis Cellars
57527,US,88,16.0,Oregon,Paul Gregutt,Pinot Gris,Willamette Valley Vineyards
57951,US,87,15.0,Oregon,Paul Gregutt,Pinot Gris,Siltstone
58068,US,89,28.0,Oregon,Paul Gregutt,Pinot Gris,Chehalem
58307,US,91,28.0,Oregon,Paul Gregutt,Pinot Gris,Lange
58435,US,87,14.0,Oregon,Paul Gregutt,Pinot Gris,Foris
58945,US,88,20.0,Oregon,Paul Gregutt,Pinot Gris,Lumos
59048,US,85,28.0,California,Jim Gordon,Pinot Gris,Las Positas
59060,US,84,14.0,Washington,Sean P. Sullivan,Pinot Gris,Willow Crest
59069,US,88,24.0,New York,Anna Lee C. Iijima,Pinot Gris,Red Newt Cellars
59532,US,87,15.0,New York,Anna Lee C. Iijima,Pinot Gris,Thirsty Owl Wine Company
59579,US,87,14.0,Oregon,Paul Gregutt,Pinot Gris,Spindrift Cellars
59652,US,85,16.0,California,Virginie Boone,Pinot Gris,River Road
59654,US,85,15.0,Washington,Sean P. Sullivan,Pinot Gris,Canoe Ridge
59681,US,92,25.0,California,Virginie Boone,Pinot Gris,Les Belles Collines
60197,US,88,20.0,New York,Anna Lee C. Iijima,Pinot Gris,Osprey's Dominion
60283,US,90,14.0,Oregon,Paul Gregutt,Pinot Gris,Spindrift Cellars
